iter	Passed	Remaining
0	2	236
1	4	219
2	5	187
3	6	162
4	9	172
5	11	174
6	13	175
7	14	165
8	16	165
9	18	162
10	19	156
11	21	156
12	22	151
13	24	149
14	26	147
15	27	146
16	29	142
17	30	140
18	32	138
19	34	136
20	35	133
21	37	131
22	39	131
23	40	128
24	43	129
25	44	126
26	45	123
27	47	122
28	49	121
29	51	119
30	52	117
31	54	116
32	57	116
33	59	115
34	60	112
35	61	110
36	63	108
37	65	107
38	67	105
39	68	102
40	70	101
41	71	99
42	73	97
43	75	95
44	78	95
45	79	93
46	81	91
47	83	90
48	86	89
49	88	88
50	89	86
51	91	84
52	92	82
53	94	80
54	95	77
55	97	76
56	99	74
57	100	72
58	102	71
59	105	70
60	106	68
61	109	67
62	111	65
63	114	64
64	116	62
65	118	61
66	121	59
67	122	57
68	124	55
69	126	54
70	127	52
71	129	50
72	132	48
73	134	47
74	136	45
75	138	43
76	139	41
77	141	39
78	143	38
79	146	36
80	148	34
81	151	33
82	153	31
83	156	29
84	158	27
85	160	26
86	163	24
87	164	22
88	167	20
89	168	18
90	170	16
91	172	14
92	174	13
93	177	11
94	179	9
95	181	7
96	183	5
97	184	3
98	187	1
99	189	0
